SENTENCE,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
Although it is obvious that human factors involved in a work activity impact job automation it is also true that highly repetitive tasksand even mechanical onesare ideal for robots,2,1,0.33333322222225925,0.10344827229488716,29,27.586206896551722,83.0344827586207,29,9,29,63,0,5.241379310344827
Besides greater efficiency and speed automation leads to a lower risk of accidents greater control and autonomy and above all fewer costs for organizations,1,1,0.0,0.08333332986111125,24,33.33333333333333,75.33333333333333,24,9,24,55,0,5.5
Are Machines more diligent than humans,1,0,0.9999990000010001,0.16666663888889352,6,16.666666666666664,21.866666666666667,6,2,6,13,0,5.5
Although artificial intelligence and machine learning make us believe that robots are endowed with superior intelligence in fact they dont yet have the ability to learn from experience and to respond to unknowns,3,0,0.9999996666667778,0.09090908815427007,33,30.303030303030305,96.52121212121213,33,11,33,72,1,5.424242424242424
So as things stand however much processing speed and automatic learning a robot has it doesnt beat factors innate to the human brain,0,0,0.0,0.0,23,21.73913043478261,61.49565217391305,23,5,23,42,0,4.782608695652174
Humans are still a very essential part of the process,0,0,0.0,0.0,10,10.0,25.200000000000003,10,1,10,16,0,4.4
Think about delivering services to a client,0,0,0.0,0.0,7,28.57142857142857,28.62857142857143,7,3,7,15,0,5.285714285714286
Most customer challenges are routine but humans play a very important role in addressing new issues solving them the first time they appear and then consolidating the process into the system,1,1,0.0,0.06451612695109267,31,19.35483870967742,83.74193548387098,31,8,31,57,0,5.161290322580645
Machines vs,0,0,0.0,0.0,2,0.0,4.4,2,1,2,3,0,5.0
Humans Which is premium,0,0,0.0,0.0,4,25.0,19.200000000000003,4,1,4,7,0,5.0
While machines and humans are placed in proximity robots can be expensive but this doesnt apply to all types especially those based on Robotic Process Automation RPA where the development process incorporates algorithms that significantly reduce costs,0,1,-0.9999990000010001,0.027027026296566857,37,24.324324324324326,110.12972972972973,37,11,37,79,0,5.8108108108108105
Moreover think of how domestic robotsbe it a vacuum cleaner a lawn mower or a pool cleanerare increasingly part of our daily lives,1,0,0.9999990000010001,0.04347825897920613,23,30.434782608695656,64.17391304347827,23,7,23,46,1,4.695652173913044
This level of consumption that robotics has attained makes it affordable to automate tasks in modern homes to obtain greater control security and comfort,3,0,0.9999996666667778,0.12499999479166687,24,29.166666666666668,72.86666666666666,24,8,24,51,0,5.416666666666667
Man and Machines together The division between humans and machines has been clear Im here the machine is there but that boundary is getting fuzzier,1,0,0.9999990000010001,0.03999999840000006,25,24.0,68.4,25,8,25,48,0,4.92
Smart prosthetics fuse seamlessly with our bodies making up for lost limbs or providing additional strength stability or resilience as seen in exoskeletons donned by assembly line workers,2,1,0.33333322222225925,0.10714285331632667,28,25.0,84.80000000000001,28,8,28,57,1,5.714285714285714
We use our smartphones symbiotically but what if they were integrated directly into our bodies,1,0,0.9999990000010001,0.06666666222222252,15,6.666666666666667,40.26666666666667,15,4,15,31,3,5.333333333333333
Think a smartphone in the form of a contact lens capable of transparently delivering augmented reality images straight to the brain,1,0,0.9999990000010001,0.04761904535147403,21,23.809523809523807,61.923809523809524,21,7,21,40,0,5.285714285714286
Think it sounds like science fiction,1,1,0.0,0.33333327777778704,6,33.33333333333333,27.733333333333334,6,2,6,12,0,5.166666666666667
Think again,0,0,0.0,0.0,2,50.0,24.400000000000002,2,1,2,4,0,5.0
The first prototypes have already been built,0,0,0.0,0.0,7,14.285714285714285,23.314285714285717,7,2,7,14,0,5.428571428571429
Soon brain-computer interfaces could become seamless as well creating a new synergistic relationship between the cloud and us,2,1,0.33333322222225925,0.1666666574074079,18,38.88888888888889,65.55555555555556,18,8,18,42,1,6.0
At that point the question of who knows what would be moot; you ask me a question and I know the answer,0,1,-0.9999990000010001,0.04347825897920613,23,8.695652173913043,44.67826086956522,23,2,23,33,1,3.5652173913043477
Sometimes that answer will be stored in my own neural circuitry but most of the time it would come from the connection of my neurons to the web,0,0,0.0,0.0,28,14.285714285714285,62.91428571428571,28,5,28,43,2,4.142857142857143
Our brains decision process is influenced by the way it has been educated by the cultural context,1,0,0.9999990000010001,0.05882352595155729,17,11.76470588235294,43.50588235294118,17,4,17,31,1,4.764705882352941
These external factors are influencing our decision processes to the point that in certain situations we can legitimately claim that influence has been so strong that our brains cant be held accountable for the choices made,1,0,0.9999990000010001,0.027777777006172864,36,22.22222222222222,98.0888888888889,36,10,36,75,3,5.222222222222222
The point Im trying to make is that we humans are in symbiosis with our cultural environment and the tools both physical and conceptual that we have been taught to use,0,0,0.0,0.0,31,12.903225806451612,71.96129032258065,31,4,31,52,3,4.419354838709677
My guess is that the transformation will be subtle,0,0,0.0,0.0,9,11.11111111111111,24.444444444444446,9,1,9,14,1,4.666666666666667
Conclusion Practically speaking robots growing to the point that they take over the world and then start creating smarter better robots are impractical and should not even be a concern,2,2,0.0,0.13333332888888902,30,16.666666666666664,80.26666666666667,30,5,30,54,0,5.166666666666667
None of this is expected in the near future not by a long shot,0,0,0.0,0.0,14,7.142857142857142,27.65714285714286,14,2,14,19,0,3.5
If youve been to an ATM waited for a PC to boot up after a catastrophic failure or had a game crash on your X box just when you were about to reach a checkpoint you understand that we are not in a world where machines do everything perfectly right,2,3,-0.199999960000008,0.09999999800000005,50,14.000000000000002,104.4,50,9,50,80,1,3.96
Before they can take over all of our jobs they need to be able to do theirs flawlessly; until then we can depend on humans to mess up our lives,1,1,0.0,0.06451612695109267,31,3.225806451612903,58.49032258064516,31,1,31,44,3,3.6774193548387095
This isnt a win-or-lose situation,0,0,0.0,0.0,5,40.0,29.200000000000003,5,2,5,12,0,5.8
Were going to wind up as a partner to our smarter machines and that partnership will be fostered by our augmentation through technology,1,0,0.9999990000010001,0.04347825897920613,23,13.043478260869565,59.21739130434783,23,5,23,42,2,4.913043478260869
Machines will play an essential role in this augmentation and as with any successful technology they will fall below our level of perception,1,1,0.0,0.08695651795841226,23,21.73913043478261,64.69565217391305,23,6,23,44,1,5.130434782608695
In the end the revolution will be silent and invisible,1,1,0.0,0.19999998000000202,10,20.0,29.6,10,2,10,18,0,4.5
Blackcoffer Insights 29 Swapna,0,0,0.0,0.0,4,25.0,22.0,4,1,4,7,0,6.75
G Nivashiniya,0,0,0.0,0.0,2,50.0,25.200000000000003,2,1,2,5,0,6.0
R Sri Manakula Vinayagar Engineering CollegeSMVEC Puducherry,0,0,0.0,0.0,7,71.42857142857143,52.571428571428584,7,5,7,21,0,7.714285714285714
In future or in upcoming years humans and machines are going to work together in every field of work,2,0,0.99999950000025,0.10526315235457093,19,15.789473684210526,46.31578947368421,19,4,19,33,0,4.315789473684211
In upcoming days machines will be the need for every human being,0,0,0.0,0.0,12,8.333333333333332,28.933333333333334,12,2,12,20,0,4.416666666666667
Machines [AI technology] will do the work which humans are incapable of doing,1,1,0.0,0.13333332444444504,15,13.333333333333334,36.13333333333333,15,3,15,24,0,4.333333333333333
Machines will partner and co-operate with humans,0,0,0.0,0.0,7,14.285714285714285,24.914285714285715,7,2,7,15,0,6.0
According to the professor at the university of Washington he explained that as a result of AI there will be more demand for existing jobs and new jobs will be created that are unimaginable today,0,1,-0.9999990000010001,0.028571427755102068,35,17.142857142857142,84.85714285714286,35,8,35,63,0,4.6
Human workers and machines will work together flawlessly complementing each other,2,0,0.99999950000025,0.1818181652892577,11,18.181818181818183,39.67272727272728,11,3,11,23,0,6.454545454545454
Machines will learn to carry out easier tasks such as following processes or crunching data,1,0,0.9999990000010001,0.06666666222222252,15,13.333333333333334,41.733333333333334,15,4,15,28,0,5.133333333333334
They will also help the humans while difficult,0,1,-0.9999990000010001,0.12499998437500197,8,12.5,23.400000000000002,8,1,8,13,0,4.875
Machines or AI will create a great job opportunities for humans in future,1,0,0.9999990000010001,0.07692307100591762,13,15.384615384615385,35.353846153846156,13,4,13,27,0,4.6923076923076925
John Kelly ll executive vice president of IBM once said that Man and Machines working together always beat or make a better decision than a man or a machine independently,1,1,0.0,0.06666666444444451,30,20.0,76.0,30,7,30,55,0,4.7
In future the three sectors of our country like agriculture sector industrial sector and service sector are going to utilize the machines,1,0,0.9999990000010001,0.045454543388429844,22,22.727272727272727,63.89090909090909,22,6,22,48,1,5.2727272727272725
So that their work becomes not difficult,1,1,0.0,0.285714244897965,7,14.285714285714285,21.714285714285715,7,2,7,12,0,4.857142857142857
As of now we can only see that for agriculture purposes various kinds of machines are used which we called as a modern farming method,1,0,0.9999990000010001,0.03999999840000006,25,8.0,56.400000000000006,25,4,25,43,2,4.36
Some major technologies [machines] that are harvest automation autonomous tractors seeding and weeing and drones,1,1,0.0,0.11764705190311459,17,23.52941176470588,54.21176470588236,17,6,17,41,0,5.764705882352941
As a result farms can do agriculture peacefully,1,0,0.9999990000010001,0.12499998437500197,8,25.0,28.8,8,2,8,16,0,5.0
In the industrial sector also humans and machines are working together to increase production,0,0,0.0,0.0,14,28.57142857142857,48.62857142857143,14,5,14,32,0,5.714285714285714
Various types of machines are used in industries such as packing machines loading machine etc,0,0,0.0,0.0,15,20.0,45.2,15,6,15,32,0,5.266666666666667
humans provide instructions to the machines and maintain the management in the company,0,0,0.0,0.0,13,30.76923076923077,46.70769230769231,13,5,13,28,0,5.6923076923076925
Soon robots [machines] will assist doctors with surgeries,0,0,0.0,0.0,10,0.0,22.8,10,2,10,17,0,5.0
For instance a doctor at remote location could direct a surgical robot to perform an open heart surgery,0,0,0.0,0.0,18,22.22222222222222,50.088888888888896,18,4,18,35,0,4.777777777777778
But the approaches option and decision will be left to experience and wisdom of the doctor not the robot,1,0,0.9999990000010001,0.05263157617728546,19,15.789473684210526,47.915789473684214,19,4,19,34,0,4.526315789473684
What do you think of machines if they will make humans less or more in the field,0,0,0.0,0.0,17,0.0,32.0,17,1,17,24,0,3.764705882352941
Machines will push human professionals up the skillset ladder into uniquely human skills such as creativity social abilities empathy and sense-making which machines cannot automate,1,0,0.9999990000010001,0.03846153698224858,26,23.076923076923077,81.23076923076923,26,9,26,59,0,6.0
As a result machines will make the workplace more not less for humans,0,0,0.0,0.0,13,7.6923076923076925,30.676923076923078,13,2,13,21,0,4.384615384615385
However humans have to learn new skills throughout their lives,0,0,0.0,0.0,10,20.0,32.800000000000004,10,2,10,20,0,5.3
It is said that in the future 80% of process-oriented tasks will be done by machines,0,0,0.0,0.0,17,5.88235294117647,35.95294117647059,17,3,17,25,0,4.0588235294117645
Quantitative reasoning tasks will be done approximately 50% by humans and 50% by machines while humans will continue to do more than 80% of cross-functional reasoning tasks,0,0,0.0,0.0,30,20.0,76.80000000000001,30,7,30,51,0,4.866666666666666
According to Harvard research machines algorithms can read diagnostic scans with 92% accuracy,0,0,0.0,0.0,14,35.714285714285715,51.485714285714295,14,6,14,27,0,5.785714285714286
Humans can do it with 96% accuracy,0,0,0.0,0.0,8,12.5,18.6,8,1,8,9,0,3.5
Together it will be 99% accurate,1,0,0.9999990000010001,0.1428571224489825,7,28.57142857142857,24.228571428571428,7,2,7,10,0,3.857142857142857
Human-machine collaboration enables companies to interact with employees and customers in the novel more effective ways,1,0,0.9999990000010001,0.06249999609375024,16,31.25,60.1,16,8,16,42,0,6.5
Smart machines are helping humans to expand their abilities in three ways,2,0,0.99999950000025,0.16666665277777895,12,0.0,29.200000000000003,12,2,12,24,0,5.166666666666667
They can amplify our cognitive strengths; interact with customers and employees to free us from higher-level tasks and embody human skills to extend our physical capabilities,1,0,0.9999990000010001,0.037037035665294975,27,14.814814814814813,75.52592592592593,27,6,27,52,3,5.518518518518518
In the research it was found that 1500 companies achieve the most significant performance improvement when humans and machines work together,3,0,0.9999996666667778,0.14285713605442207,21,28.57142857142857,67.42857142857143,21,8,21,43,0,5.714285714285714
New machine systems have beyond-human cognitive abilities which many of us fear could potentially dehumanize the future of work,1,2,-0.33333322222225925,0.15789472853185638,19,31.57894736842105,63.43157894736842,19,7,19,43,1,5.7368421052631575
Machines will indeed automate most repetitive and physical tasks and part of quantitative tasks such as programming and even data science,0,1,-0.9999990000010001,0.04761904535147403,21,23.809523809523807,64.32380952380952,21,7,21,45,0,5.571428571428571
According to D,0,0,0.0,0.0,3,33.33333333333333,18.933333333333334,3,1,3,4,0,4.0
E Shaw Group and professor at the University of Washington explained that as a result of machines there will be more demand for existing jobs and new jobs will be created that are unimaginable today,0,1,-0.9999990000010001,0.028571427755102068,35,14.285714285714285,84.91428571428571,35,8,35,62,0,4.685714285714286
This is similar to how we couldnt imagine a web app developer decades ago and now millions make a living doing that today,0,0,0.0,0.0,23,17.391304347826086,55.35652173913044,23,5,23,41,1,4.304347826086956
Machines are good at doing tasks with speed precision and accuracy,1,0,0.9999990000010001,0.09090908264462885,11,18.181818181818183,33.67272727272728,11,3,11,22,0,5.090909090909091
But machines are not very good at responding to unknown situations or making judgments,1,1,0.0,0.14285713265306196,14,14.285714285714285,40.114285714285714,14,3,14,27,0,5.214285714285714
That part will be left to humans,0,0,0.0,0.0,7,0.0,12.8,7,0,7,8,0,3.7142857142857144
Hence the need for both humans and machines will be there in the future,0,0,0.0,0.0,14,7.142857142857142,31.257142857142856,14,2,14,22,0,4.142857142857143
Humans and machines have divergent skill sets that when combined can transform the way we work,2,1,0.33333322222225925,0.18749998828125072,16,6.25,40.1,16,3,16,25,1,4.9375
Machines have already infiltrated every aspect of our lives and we must learn to live with them,0,0,0.0,0.0,17,5.88235294117647,40.35294117647059,17,3,17,31,2,4.647058823529412
In the future human workers will interact more closely with humans,0,0,0.0,0.0,11,18.181818181818183,33.67272727272728,11,2,11,20,0,5.090909090909091
Blackcoffer Insights 29 Vachika Sharma ANAND ENGLISH MEDIUM SCHOOL,0,0,0.0,0.0,9,33.33333333333333,39.733333333333334,9,3,9,19,0,6.444444444444445
nan,0,0,0.0,0.0,1,0.0,1.2000000000000002,1,0,1,1,0,3.0
Machine learning techniques may have been used for years but recently there has been an explosion in their applications,0,0,0.0,0.0,19,21.052631578947366,56.021052631578954,19,5,19,41,0,5.315789473684211
In fact in a recent Q3 earnings call Google CEO Sundar Pichai said Machine learning is a core transformative way by which were re-thinking how were doing everything,0,0,0.0,0.0,28,28.57142857142857,77.02857142857142,28,8,28,52,0,4.892857142857143
And theyre far from the only business making that claim,0,0,0.0,0.0,10,10.0,26.0,10,1,10,15,0,4.6
In the past successful use of machine learning algorithms required bespoke algorithms and huge R&D budgets but all that is changing,1,0,0.9999990000010001,0.04347825897920613,23,26.08695652173913,62.834782608695654,23,7,23,39,0,4.826086956521739
IBM Watson Microsoft Azure Amazon and Alibaba all launched turnkey cloud-based machine-learning SaaS solutions in 2015,0,0,0.0,0.0,16,37.5,62.2,16,8,16,40,0,6.4375
At the same time startups like Idibon MetaMind Dato and MonkeyLearn have built machine learning products that companies can take advantage of,2,0,0.99999950000025,0.09090908677685969,22,27.27272727272727,67.30909090909091,22,7,22,48,0,5.454545454545454
Gartner already puts machine learning at the top of its hype curve and no machine learning wont replace all of your employees with computers or suddenly double your revenue,1,1,0.0,0.06896551486325811,29,31.03448275862069,81.21379310344828,29,10,29,56,0,4.9655172413793105
But that doesnt mean that it cant give every business a competitive advantage,2,0,0.99999950000025,0.15384614201183525,13,23.076923076923077,40.03076923076924,13,3,13,26,0,5.0
There are plenty of business processes that can significantly benefit from machine learning,1,0,0.9999990000010001,0.07692307100591762,13,38.46153846153847,51.784615384615385,13,6,13,28,0,6.076923076923077
So how does machine learning change the way businesses operate,0,0,0.0,0.0,10,30.0,36.800000000000004,10,4,10,22,0,5.3
Fig Machine learning techniques For Business Bigger upfront costs First things first Machine learning needs training data and training data costs money,0,0,0.0,0.0,22,31.818181818181817,73.12727272727273,22,8,22,45,0,5.909090909090909
Especially training data labeled by humans,0,0,0.0,0.0,6,33.33333333333333,30.133333333333333,6,3,6,14,0,6.166666666666667
Let me explain,0,0,0.0,0.0,3,33.33333333333333,18.933333333333334,3,1,3,5,0,4.0
To make machine learning work for business the algorithm needs to see lots and lots of examples of what its supposed to be doing,1,0,0.9999990000010001,0.041666664930555625,24,16.666666666666664,57.86666666666667,24,6,24,40,0,4.375
If you want an algorithm to tell you if a sales lead is good you need to show it lots and lots of examples of good sales leads and bad sales leads,5,1,0.6666665555555741,0.1874999941406252,32,3.125,59.650000000000006,32,2,32,48,0,3.59375
If you want an algorithm to tag the support tickets you need to show it many examples of support tickets,2,0,0.99999950000025,0.09999999500000024,20,5.0,43.6,20,2,20,31,0,4.25
If you localize your algorithm to a new language you probably need to collect lots of examples in that language,0,0,0.0,0.0,20,20.0,52.400000000000006,20,5,20,39,0,4.6
In some instances a company may have those training sets in-house,0,0,0.0,0.0,11,18.181818181818183,33.27272727272727,11,3,11,22,0,5.0
For example a bunch of disqualified or qualified leads,2,0,0.99999950000025,0.22222219753086697,9,11.11111111111111,26.044444444444448,9,3,9,21,0,5.111111111111111
But say you havent labeled each of your support tickets as theyve come in over the year,1,0,0.9999990000010001,0.05882352595155729,17,0.0,34.800000000000004,17,1,17,29,0,4.176470588235294
Youd need to have people either in-house or en masse via a data enrichment platform -label those tickets,1,0,0.9999990000010001,0.055555552469135974,18,22.22222222222222,50.488888888888894,18,4,18,37,0,4.833333333333333
The machine will then look at those judgments and start finding connections and patterns it can learn from,0,0,0.0,0.0,18,11.11111111111111,46.84444444444445,18,2,18,29,0,4.944444444444445
Much lower ongoing costs Machine learning is much cheaper and more efficient than people when it works well,4,0,0.9999997500000625,0.2222222098765439,18,33.33333333333333,56.133333333333326,18,6,18,33,0,5.0
The downside is that it often works well in 80 percent of the cases and badly in 20 percent of the cases and lowering the 20 percent error rate is hard if not impossible,2,5,-0.4285713673469475,0.20588234688581333,34,8.823529411764707,71.12941176470588,34,3,34,46,0,4.0
But even an 80 percent accurate algorithm can save you a lot of money because good machine learning algorithms know where they are accurate and where they are more likely to have errors,3,1,0.49999987500003124,0.12121211753902675,33,21.21212121212121,82.4848484848485,33,7,33,63,0,4.636363636363637
Smart companies take the cases where the algorithm has high confidence and uses those directly while sending low confidence cases to humans,3,0,0.9999996666667778,0.13636363016528952,22,13.636363636363635,61.054545454545455,22,4,22,43,0,5.363636363636363
Banks have been doing this for years,0,0,0.0,0.0,7,0.0,14.4,7,0,7,11,0,4.285714285714286
When you put a check in an ATM an algorithm tries to decipher the numbers on the check,0,0,0.0,0.0,18,11.11111111111111,38.84444444444445,18,2,18,25,0,3.8333333333333335
If you have really sloppy handwriting or the ink is smudged the algorithm passes the task to a human,0,2,-0.99999950000025,0.10526315235457093,19,10.526315789473683,44.21052631578948,19,2,19,29,0,4.315789473684211
This design pattern saves banks lots of money while preserving a very high level of accuracy,0,0,0.0,0.0,16,12.5,41.800000000000004,16,2,16,26,0,4.8125
Your costs will drop over time A huge benefit of machine learning is that it can turn part of your variable cost into more of a fixed cost,1,0,0.9999990000010001,0.035714284438775556,28,14.285714285714285,60.91428571428571,28,4,28,45,0,3.9642857142857144
If you use humans to handle cases where that algorithm is struggling you are creating the perfect training data to feed into your algorithm,1,1,0.0,0.08333332986111125,24,16.666666666666664,62.266666666666666,24,4,24,46,0,4.833333333333333
This is a well-studied technique called active learning it turns out that training data labels collected on cases where the algorithm has low confidence help the algorithm learn much much more efficiently,2,0,0.99999950000025,0.06249999804687507,32,25.0,91.60000000000001,32,10,32,64,0,5.40625
As the algorithm becomes increasingly more accurate the unit economics of your business process become better and as machine learning becomes able to handle more cases the expensive humans are only called in on the toughest rarest situations,3,1,0.49999987500003124,0.10526315512465383,38,28.947368421052634,107.97894736842107,38,13,38,83,0,5.368421052631579
That means you use the best of both human and machine intelligence in tandem leveraging the speed and reliability of computers for the easy judgments and the fluency and expertise of humans for the difficult ones,3,1,0.49999987500003124,0.11111110802469146,36,19.444444444444446,92.57777777777778,36,7,36,67,0,4.916666666666667
And if that sounds like smart business its because it is,2,0,0.99999950000025,0.1818181652892577,11,18.181818181818183,29.672727272727276,11,2,11,18,0,4.181818181818182
Blackcoffer Insights 28 Monica V SNS COLLEGE OF TECHNOLOGY,0,0,0.0,0.0,9,44.44444444444444,40.97777777777778,9,4,9,15,0,5.555555555555555
eLearning as technology becomes more affordable in higher education but having a big barrier in the cost of developing its resources,1,0,0.9999990000010001,0.04761904535147403,21,28.57142857142857,64.22857142857143,21,8,21,46,0,5.333333333333333
Deep learning using artificial intelligence continues to become more and more popular and having impacts on many areas of eLearning,2,0,0.99999950000025,0.09999999500000024,20,35.0,66.4,20,8,20,48,0,5.6
It offers online learners of the future intuitive algorithms and automated delivery of eLearning content through modern LMS platforms,2,0,0.99999950000025,0.10526315235457093,19,36.84210526315789,67.93684210526315,19,8,19,44,0,6.052631578947368
This paper aims to survey various applications of deep learning approaches for developing the resources of the eLearning platform in which predictions algorithms and analytics come together to create more personalized future eLearning experiences,1,0,0.9999990000010001,0.02941176384083048,34,35.294117647058826,112.51764705882354,34,16,34,86,0,6.264705882352941
In addition deep learning models for developing the contents of the eLearning platform deep learning framework that enable deep learning systems into eLearning and its development benefits & future trends of deep learning in eLearning the relevant deep learning-based artificial intelligence tools and a platform enabling the developer and learners to quickly reuse resources are clearly summarized,3,0,0.9999996666667778,0.052631578024007405,57,36.84210526315789,173.93684210526317,57,24,57,133,0,6.0
Thus deep learning has evolved into developing ways to re-purpose existing resources that can mitigate the expense of content development of future eLearning,0,0,0.0,0.0,23,39.130434782608695,78.45217391304348,23,11,23,54,0,5.869565217391305
It is natural to wonder where you might get AI tools to avoid the time and expense of developing your own,1,0,0.9999990000010001,0.04761904535147403,21,19.047619047619047,49.61904761904762,21,4,21,37,0,4.0476190476190474
Dont worry about the advert of AIaaS or AI as a Service even small education or learning & development professionals can purchase the license of AI tools and components,0,1,-0.9999990000010001,0.034482757431629055,29,34.48275862068966,80.99310344827586,29,10,29,59,0,4.827586206896552
However such types of tools cannot be useful for every e-learning ecosystem but may offer some enticing benefits such as adding standard AI tasks logic decision making to your toolbox,3,0,0.9999996666667778,0.09677419042663901,31,25.806451612903224,83.5225806451613,31,8,31,59,0,4.967741935483871
Here are some of the AIaaS tools and platforms offered by famous tech giants most of which are cloud-based,1,0,0.9999990000010001,0.05263157617728546,19,10.526315789473683,46.61052631578948,19,4,19,35,0,4.631578947368421
Microsoft Azure Cloud-based AI services that can be used to build and manage AI applications like image recognition or bot-based apps IBMs Watson Cloud-based AI services that can be integrated into your applications; to store and manage your own data Googles Tensor Flow An end-to-end open-source machine learning platform Amazon Web Services Offers a wide range of products and services on Amazons cloud There are other AIaaS platforms such as DataRobot Petuum and H2O which shows that the field is expanding,2,1,0.33333322222225925,0.036585365407495546,82,21.951219512195124,212.38048780487807,82,27,82,172,0,5.2317073170731705
AI will probably not make human workers obsolete at least not for a long time To put some of your fears to bed the robots are probably not coming for your jobs at least not yet,0,2,-0.99999950000025,0.05555555401234573,36,2.7777777777777777,71.5111111111111,36,1,36,55,0,3.9166666666666665
Given how artificial intelligence has been portrayed in the media in particular in some of our favorite sci-fi movies its clear that the advent of this technology has created fear that AI will one day make human beings obsolete in the workforce,3,2,0.199999960000008,0.119047616213152,42,19.047619047619047,105.21904761904761,42,11,42,84,1,4.833333333333333
After all as technology has advanced many tasks that were once executed by human hands have become automated,1,0,0.9999990000010001,0.055555552469135974,18,11.11111111111111,47.644444444444446,18,5,18,35,0,5.055555555555555
Its only natural to fear that the leap toward creating intelligent computers could herald the beginning of the end of work as we know it,2,1,0.33333322222225925,0.11999999520000018,25,20.0,62.400000000000006,25,5,25,41,1,4.48
But I dont think there is any reason to be so fatalistic,0,1,-0.9999990000010001,0.08333332638888948,12,16.666666666666664,29.066666666666663,12,2,12,18,1,3.75
A recent paper published by the MIT Task Force on the Work of the Future entitled Artificial Intelligence And The Future of Work looked closely at developments in AI and their relation to the world of work,4,0,0.9999997500000625,0.10810810518626743,37,16.216216216216218,88.4864864864865,37,9,37,66,0,4.5675675675675675
The paper paints a more optimistic picture,1,0,0.9999990000010001,0.1428571224489825,7,28.57142857142857,28.228571428571428,7,2,7,15,0,5.142857142857143
Rather than promoting the obsolescence of human labor the paper predicts that AI will continue to drive massive innovation that will fuel many existing industries and could have the potential to create many new sectors for growth ultimately leading to the creation of more jobs,2,0,0.99999950000025,0.04444444345679015,45,24.444444444444443,120.57777777777778,45,12,45,90,0,5.177777777777778
While AI has made major strides toward replicating the efficacy of human intelligence in executing certain tasks there are still major limitations,1,1,0.0,0.09090908677685969,22,27.27272727272727,69.30909090909091,22,6,22,50,0,5.681818181818182
In particular AI programs are typically only capable of specialized intelligence meaning they can solve only one problem and execute only one task at a time,2,1,0.33333322222225925,0.11538461094674572,26,19.230769230769234,70.0923076923077,26,6,26,53,0,5.038461538461538
Often they can be rigid and unable to respond to any changes in input or perform any thinking outside of their prescribed programming,0,2,-0.99999950000025,0.08695651795841226,23,13.043478260869565,58.41739130434783,23,4,23,40,0,4.826086956521739
Humans however possess generalized intelligence with the kind of problem-solving abstract thinking and critical judgment that will continue to be important in business,2,1,0.33333322222225925,0.1304347769376184,23,30.434782608695656,78.97391304347826,23,8,23,50,0,6.304347826086956
Human judgment will be relevant if not in every task then certainly throughout every level across all sectors,0,0,0.0,0.0,18,16.666666666666664,50.266666666666666,18,3,18,32,0,5.111111111111111
There are many other factors that could limit runaway advancement in AI,0,2,-0.99999950000025,0.16666665277777895,12,16.666666666666664,35.06666666666666,12,2,12,24,0,5.0
AI often requires learning which can involve massive amounts of data calling into question the availability of the right kind of data and highlighting the need for categorization and issues of privacy and security around such data,1,1,0.0,0.054054052593133714,37,27.027027027027028,102.81081081081082,37,12,37,79,0,5.243243243243243
There is also the limitation of computation and processing power,0,1,-0.9999990000010001,0.09999999000000101,10,30.0,37.6,10,3,10,23,0,5.5
The cost of electricity alone to power one supercharged language model AI was estimated at $4,0,0,0.0,0.0,17,17.647058823529413,44.25882352941177,17,5,17,33,0,4.588235294117647
6 million,0,0,0.0,0.0,2,50.0,23.6,2,1,2,3,0,4.0
Another important limitation of note is that data can itself carry bias and be reflective of societal inequities or the implicit biases of the designers who create and input the data,1,4,-0.599999880000024,0.1612903173777317,31,25.806451612903224,83.12258064516129,31,10,31,64,0,4.903225806451613
If there is bias in the data that is inputted into an AI this bias is likely to carry over to the results generated by the AI,0,2,-0.99999950000025,0.07407407133058995,27,0.0,50.0,27,2,27,41,0,3.6666666666666665
There has even been a bill introduced into Congress entitled the Algorithmic Accountability Act with the goal of forcing the Federal Trade Commission to investigate the use of any new AI technology for the potential to perpetuate bias,0,1,-0.9999990000010001,0.026315788781163457,38,21.052631578947366,102.02105263157895,38,10,38,80,0,5.184210526315789
Based on these factors and many others the MIT CCI paper argues that we are a long way from reaching a point in which AI is comparable to human intelligence and could theoretically replace human workers entirely,1,0,0.9999990000010001,0.027027026296566857,37,16.216216216216218,90.88648648648649,37,7,37,68,1,4.72972972972973
Provided there is an investment at all levels from education to the private sector and governmental organizationsanywhere that focuses on training and upskilling workersAI has the potential to ultimately create more jobs not less,0,0,0.0,0.0,34,32.35294117647059,104.54117647058825,34,13,34,76,0,5.764705882352941
The question should then become not humans or computers but humans and computers involved in complex systems that advance industry and prosperity,1,1,0.0,0.09090908677685969,22,27.27272727272727,68.90909090909092,22,7,22,42,0,5.636363636363637
This paper is a fascinating read for anyone hoping to dive deeper into AI and the many potential directions in which it may lead,2,0,0.99999950000025,0.08333332986111125,24,20.833333333333336,59.53333333333334,24,5,24,44,0,4.375
AI Is becoming standard in all businesses not just in the world of tech A couple of times recently AI has come up in conversation with a client or an associate and Im noticing a fallacy in how people are thinking about it,0,1,-0.9999990000010001,0.023255813412655504,43,16.27906976744186,94.91162790697675,43,8,43,74,0,4.162790697674419
